step,model,runs,api_errors,truncated,check,passed,pass_rate
spec,claude-sonnet-5,1,0,0,json_parsed,1,100%
spec,claude-sonnet-5,1,0,0,spec_valid,1,100%
spec,claude-haiku-4-5-20251001,1,0,0,json_parsed,1,100%
spec,claude-haiku-4-5-20251001,1,0,0,spec_valid,1,100%
code,claude-sonnet-5,1,0,0,has_default_export,1,100%
code,claude-sonnet-5,1,0,0,compiles,1,100%
code,claude-sonnet-5,1,0,0,code_valid,1,100%
code,claude-haiku-4-5-20251001,1,0,0,has_default_export,1,100%
code,claude-haiku-4-5-20251001,1,0,0,compiles,1,100%
code,claude-haiku-4-5-20251001,1,0,0,code_valid,1,100%
